filename	source_url	bytes	status
rating-games_46DA26A8A5E9FBA994C4A2C123D16CAA.sgf	https://katagotraining.org/sgf-files/rating-games/46DA26A8A5E9FBA994C4A2C123D16CAA.sgf	6642	existing
training-games_37BD4E5B81AC612A56167174D076EC99.sgf	https://katagotraining.org/sgf-files/training-games/37BD4E5B81AC612A56167174D076EC99.sgf	10529	existing
rating-games_2B1AB88671CAEE1A663C12240A1ABB58.sgf	https://katagotraining.org/sgf-files/rating-games/2B1AB88671CAEE1A663C12240A1ABB58.sgf	9224	existing
rating-games_5AD6C78742B116FD92ED77C0CD4AC60C.sgf	https://katagotraining.org/sgf-files/rating-games/5AD6C78742B116FD92ED77C0CD4AC60C.sgf	6841	existing
training-games_B0464E8AA39D89BE6EF27400FC92A920.sgf	https://katagotraining.org/sgf-files/training-games/B0464E8AA39D89BE6EF27400FC92A920.sgf	17177	existing
rating-games_57F5F4C86D64EDAB37DFFB2EED1D15A8.sgf	https://katagotraining.org/sgf-files/rating-games/57F5F4C86D64EDAB37DFFB2EED1D15A8.sgf	6163	existing
rating-games_D12BF78F79C0E007D76569E57CFF3C35.sgf	https://katagotraining.org/sgf-files/rating-games/D12BF78F79C0E007D76569E57CFF3C35.sgf	4327	existing
training-games_0D2AAED015C4FDFFBED876B45124005C.sgf	https://katagotraining.org/sgf-files/training-games/0D2AAED015C4FDFFBED876B45124005C.sgf	16918	existing
rating-games_EE4AF466A6277C3632AE2C57D1DE4529.sgf	https://katagotraining.org/sgf-files/rating-games/EE4AF466A6277C3632AE2C57D1DE4529.sgf	9147	existing
training-games_24F791793EE52A425D70918D42712F01.sgf	https://katagotraining.org/sgf-files/training-games/24F791793EE52A425D70918D42712F01.sgf	16130	existing
training-games_048F4387452EE454841140BF4D9AC2A7.sgf	https://katagotraining.org/sgf-files/training-games/048F4387452EE454841140BF4D9AC2A7.sgf	15474	existing
rating-games_17F11A6DCA6DBE5396290EA819A13A78.sgf	https://katagotraining.org/sgf-files/rating-games/17F11A6DCA6DBE5396290EA819A13A78.sgf	6588	existing
training-games_9A0CE853761D7A13A2EA1479987AFFF1.sgf	https://katagotraining.org/sgf-files/training-games/9A0CE853761D7A13A2EA1479987AFFF1.sgf	14529	existing
rating-games_337B7E6D187645071321ACD5309B58AE.sgf	https://katagotraining.org/sgf-files/rating-games/337B7E6D187645071321ACD5309B58AE.sgf	8367	existing
training-games_8AB967DFEF33AFFA52B4D33B36884DA9.sgf	https://katagotraining.org/sgf-files/training-games/8AB967DFEF33AFFA52B4D33B36884DA9.sgf	18137	existing
training-games_96CAFC6418C9356C57ED7C2DC138E298.sgf	https://katagotraining.org/sgf-files/training-games/96CAFC6418C9356C57ED7C2DC138E298.sgf	15603	existing
rating-games_D51C95C0BC7BE86F0895358D6C79EAAB.sgf	https://katagotraining.org/sgf-files/rating-games/D51C95C0BC7BE86F0895358D6C79EAAB.sgf	4172	existing
rating-games_AA170ABB40E724F37AC9E3E8F40FEE8A.sgf	https://katagotraining.org/sgf-files/rating-games/AA170ABB40E724F37AC9E3E8F40FEE8A.sgf	7888	existing
training-games_36D4BE5D56153F71415344BDB758B2BC.sgf	https://katagotraining.org/sgf-files/training-games/36D4BE5D56153F71415344BDB758B2BC.sgf	15631	existing
rating-games_DFF5C69B2A3F276CB90425AF4BAFC11F.sgf	https://katagotraining.org/sgf-files/rating-games/DFF5C69B2A3F276CB90425AF4BAFC11F.sgf	8445	existing
rating-games_40A8D1FEBDD85CFA20386FE21622E7F8.sgf	https://katagotraining.org/sgf-files/rating-games/40A8D1FEBDD85CFA20386FE21622E7F8.sgf	5441	existing
training-games_F889078AA52CA554890B91FB68585F80.sgf	https://katagotraining.org/sgf-files/training-games/F889078AA52CA554890B91FB68585F80.sgf	14689	existing
training-games_5627E9844E08AD6FAB21197D1544C332.sgf	https://katagotraining.org/sgf-files/training-games/5627E9844E08AD6FAB21197D1544C332.sgf	14827	existing
training-games_556E1E1A6A77CBA769A9C7B41FC69CFE.sgf	https://katagotraining.org/sgf-files/training-games/556E1E1A6A77CBA769A9C7B41FC69CFE.sgf	14662	existing
training-games_1D7A6B4B6A7DA555F372D269C48E22B1.sgf	https://katagotraining.org/sgf-files/training-games/1D7A6B4B6A7DA555F372D269C48E22B1.sgf	12325	existing
rating-games_25175005BD809B237F16D9BFD05C6CE1.sgf	https://katagotraining.org/sgf-files/rating-games/25175005BD809B237F16D9BFD05C6CE1.sgf	6821	existing
rating-games_DA93281067B79D2E4041815ED452BA28.sgf	https://katagotraining.org/sgf-files/rating-games/DA93281067B79D2E4041815ED452BA28.sgf	7118	existing
